Date,Open,High,Low,Close,Volume
2016-10-26,2066.55,2072.66,2054.21,2062.9,27988800
2016-10-27,2063.33,2081.13,2061.37,2080.29,38690723
2016-10-28,2075.88,2100.89,2068.31,2100.89,30081398
2016-10-31,2097.5,2114.31,2093.4,2098.74,30104022
2016-11-02,2081.56,2081.56,2037.64,2043.12,45018698
2016-11-03,2043.89,2053.91,2037.11,2047.21,36344341
2016-11-04,2042.1,2044.12,2032.4,2033.11,19854633
2016-11-07,2063.84,2066.14,2032.32,2038.3,27579880
2016-11-08,2047.6,2062.83,2047.6,2062.83,23041322
2016-11-09,2021.83,2070.23,2021.83,2070.23,32144119
2016-11-10,2095.97,2116.44,2079.74,2079.74,48833882
2016-11-14,2089.27,2089.27,2029.05,2029.05,46309407
2016-11-15,2031.09,2044.21,2022.9,2031.46,39008549
2016-11-16,2040.04,2046.55,2030.42,2039.8,38499969
2016-11-17,2045.55,2049.07,2020.98,2022.87,26509026
2016-11-18,2007.7,2019.82,1994.99,2007.1,27514216
2016-11-21,2019.12,2041.78,2014.46,2040.9,39206406
2016-11-22,2059.44,2068.43,2058.58,2066.84,31721493
2016-11-23,2070.44,2089.22,2063.81,2089.22,37599536
2016-11-24,2094.92,2107.29,2090.2,2102.77,21122517
2016-11-25,2106.7,2108.7,2081.53,2093.26,33902627
2016-11-28,2092.84,2094.76,2072.4,2074.56,27698032
2016-11-29,2076.48,2082.92,2066.75,2073.93,33226184
2016-11-30,2079.57,2107.03,2076.35,2097.23,91496565
2016-12-01,2100.51,2100.51,2081.3,2085.42,31980230
2016-12-02,2083.48,2092.66,2079.43,2085.38,29917559
2016-12-05,2098.93,2149.93,2098.06,2149.93,26885878
2016-12-06,2154.03,2184.26,2147.13,2182.56,41938301
2016-12-07,2185.86,2200.22,2178.06,2188.22,58812135
2016-12-08,2200.9,2227.73,2183.67,2226.63,64478465
2016-12-09,2221.58,2224.24,2194.56,2202.19,48016652
2016-12-12,2206.01,2206.01,2178.59,2189.29,29816100
2016-12-13,2191.91,2228.35,2191.89,2225.86,42443683
2016-12-14,2220.02,2238.9,2211.79,2237.87,43832845
2016-12-15,2232.76,2235.68,2207.72,2209.85,26633675
2016-12-16,2215.75,2230.37,2201.51,2219.01,65474833
2016-12-19,2209.31,2225.36,2190.19,2220.5,31898117
2016-12-20,2230.9,2248.89,2230.21,2241.96,43052436
2016-12-21,2241.03,2250,2222.12,2225.59,29259639
2016-12-22,2220.32,2236.06,2206.49,2235.99,28301074
2016-12-23,2241.41,2246.17,2218.49,2224.74,14904799
2016-12-27,2225.98,2230.76,2220.92,2229.03,7734333
2016-12-28,2229.46,2239.49,2217.1,2227.9,20529283
